#Parameters = {realphi=0; phi=360; theta=3; blendraduis=2.8456603219661; L=6; Pin=1; a=20; b=10; blendFmax=0.02; blendradius=2.85; d=5; s=4; ta=16.03; tb=10.61; totaltime=10; trh=1.69; wr=11.49; wt=0.91}
#"Frequency / GHz"	"S1,1 (1) [Magnitude]"
#----------------------------------------
6.0000000000000	-27.173805749298
6.0008000000000	-27.165562190875
6.0016000000000	-27.157303558671
6.0024000000000	-27.149029826771
6.0032000000000	-27.140740969431
6.0040000000000	-27.132436961073
6.0048000000000	-27.124117776296
6.0056000000000	-27.115783389874
6.0064000000000	-27.107433776767
6.0072000000000	-27.099068912118
6.0080000000000	-27.090688771262
6.0088000000000	-27.082293329729
6.0096000000000	-27.073882563248
6.0104000000000	-27.065456447753
6.0112000000000	-27.057014959382
6.0120000000000	-27.048558074491
6.0128000000000	-27.040085769649
6.0136000000000	-27.031598021649
6.0144000000000	-27.023094807511
6.0152000000000	-27.014576104485
6.0160000000000	-27.006041890058
6.0168000000000	-26.997492141958
6.0176000000000	-26.988926838161
6.0184000000000	-26.980345956891
6.0192000000000	-26.971749476632
6.0200000000000	-26.963137376128
6.0208000000000	-26.954509634391
6.0216000000000	-26.945866230704
6.0224000000000	-26.937207144630
6.0232000000000	-26.928532356014
6.0240000000000	-26.919841844990
6.0248000000000	-26.911135591989
6.0256000000000	-26.902413577740
6.0264000000000	-26.893675783280
6.0272000000000	-26.884922189958
6.0280000000000	-26.876152779441
6.0288000000000	-26.867367533722
6.0296000000000	-26.858566435124
6.0304000000000	-26.849749466307
6.0312000000000	-26.840916610274
6.0320000000000	-26.832067850379
6.0328000000000	-26.823203170332
6.0336000000000	-26.814322554207
6.0344000000000	-26.805425986447
6.0352000000000	-26.796513451871
6.0360000000000	-26.787584935685
6.0368000000000	-26.778640423481
6.0376000000000	-26.769679901253
6.0384000000000	-26.760703355398
6.0392000000000	-26.751710772727
6.0400000000000	-26.742702140470
6.0408000000000	-26.733677446283
6.0416000000000	-26.724636678260
6.0424000000000	-26.715579824937
6.0432000000000	-26.706506875299
6.0440000000000	-26.697417818792
6.0448000000000	-26.688312645326
6.0456000000000	-26.679191345290
6.0464000000000	-26.670053909553
6.0472000000000	-26.660900329476
6.0480000000000	-26.651730596922
6.0488000000000	-26.642544704261
6.0496000000000	-26.633342644383
6.0504000000000	-26.624124410701
6.0512000000000	-26.614889997167
6.0520000000000	-26.605639398275
6.0528000000000	-26.596372609075
6.0536000000000	-26.587089625180
6.0544000000000	-26.577790442774
