#Parameters = {L=6; LDR=12; LR=12; Ltransport1=10.607733770972; Ltransport2=10.607733770972; a=20; ar=28.499; atransport1=22.782495950948; atransport2=26.47017292485; b=10; blendraduis=2.821301886583; br=12.624; btransport1=10.727352682803; btransport2=11.403084710629; d=5; dtransport1=6.5566911660216; dtransport2=9.4039177915434; psi=0.6; s=4; stransport1=4; stransport2=4; ta=16.248247942233; tb=10.676497873447; trh=1.7173139577041; wr=11.465380432449; wt=0.90803999452356}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
5.0000000000000	-16.449028753622
5.0020000000000	-16.394504241678
5.0040000000000	-16.339709137634
5.0060000000000	-16.284642455102
5.0080000000000	-16.229303112407
5.0100000000000	-16.173689927621
5.0120000000000	-16.117801613495
5.0140000000000	-16.061636772285
5.0160000000000	-16.005193890464
5.0180000000000	-15.948471333336
5.0200000000000	-15.891467339541
5.0220000000000	-15.834180015465
5.0240000000000	-15.776607329554
5.0260000000000	-15.718747106532
5.0280000000000	-15.660597021541
5.0300000000000	-15.602154594183
5.0320000000000	-15.543417182513
5.0340000000000	-15.484381976940
5.0360000000000	-15.425045994084
5.0380000000000	-15.365406070582
5.0400000000000	-15.305458856850
5.0420000000000	-15.245200810834
5.0440000000000	-15.184628191728
5.0460000000000	-15.123737053718
5.0480000000000	-15.062523239728
5.0500000000000	-15.000982375218
5.0520000000000	-14.939109862034
5.0540000000000	-14.876900872348
5.0560000000000	-14.814350342701
5.0580000000000	-14.751452968185
5.0600000000000	-14.688203196792
5.0620000000000	-14.624595223964
5.0640000000000	-14.560622987377
5.0660000000000	-14.496280162009
5.0680000000000	-14.431560155520
5.0700000000000	-14.366456104003
5.0720000000000	-14.300960868168
5.0740000000000	-14.235067029977
5.0760000000000	-14.168766889842
5.0780000000000	-14.102052464405
5.0800000000000	-14.034915485019
5.0820000000000	-13.967347396949
5.0840000000000	-13.899339359449
5.0860000000000	-13.830882246731
5.0880000000000	-13.761966649996
5.0900000000000	-13.692582880573
5.0920000000000	-13.622720974328
5.0940000000000	-13.552370697442
5.0960000000000	-13.481521553704
5.0980000000000	-13.410162793472
5.1000000000000	-13.338283424451
5.1020000000000	-13.265872224482
5.1040000000000	-13.192917756509
5.1060000000000	-13.119408385969
5.1080000000000	-13.045332300807
5.1100000000000	-12.970677534390
5.1120000000000	-12.895431991603
5.1140000000000	-12.819583478435
5.1160000000000	-12.743119735424
5.1180000000000	-12.666028475358
5.1200000000000	-12.588297425681
5.1220000000000	-12.509914376138
5.1240000000000	-12.430867232248
5.1260000000000	-12.351144075308
5.1280000000000	-12.270733229731
5.1300000000000	-12.189623338690
5.1320000000000	-12.107803449183
5.1340000000000	-12.025263107888
5.1360000000000	-11.941992469435
5.1380000000000	-11.857982419064
5.1400000000000	-11.773224712090
5.1420000000000	-11.687712133134
5.1440000000000	-11.601438678780
5.1460000000000	-11.514399768223
5.1480000000000	-11.426592487620
5.1500000000000	-11.338015875336
5.1520000000000	-11.248671257227
5.1540000000000	-11.158562643588
5.1560000000000	-11.067697202769
5.1580000000000	-10.976085830782
5.1600000000000	-10.883743842129
5.1620000000000	-10.790691814921
5.1640000000000	-10.696956634015
5.1660000000000	-10.602572790483
5.1680000000000	-10.507584015874
5.1700000000000	-10.412045357841
5.1720000000000	-10.316025843521
5.1740000000000	-10.219611933946
5.1760000000000	-10.122912055548
5.1780000000000	-10.026062616808
5.1800000000000	-9.9292361013335
5.1820000000000	-9.8326521088130
5.1840000000000	-9.7365926530921
5.1860000000000	-9.6414237266577
5.1880000000000	-9.5476262900696
5.1900000000000	-9.4558417878818
5.1920000000000	-9.3669406890252
5.1940000000000	-9.2821287170072
5.1960000000000	-9.2031171367653
5.1980000000000	-9.1324068319086
5.2000000000000	-9.0737854780498
5.2020000000000	-9.0332502230052
5.2040000000000	-9.0208505157771
5.2060000000000	-9.0547344837482
5.2080000000000	-9.1712415820971
5.2100000000000	-9.4551168246852
5.2120000000000	-10.160434286556
5.2140000000000	-12.576486610723
5.2160000000000	-10.153319300750
5.2180000000000	-1.3891186748251
5.2200000000000	-4.2351605904444
5.2220000000000	-4.9948308028445
5.2240000000000	-5.2755121762078
