#Parameters = {L=6; Pin=1; a=20; b=10; blendFmax=0.02; blendradius=2.85; blendraduis=2.8456603219661; d=5; phi=360; realphi=0; s=4; ta=16.03; tb=10.61; theta=0; totaltime=10; trh=1.69; wr=11.49; wt=0.91}
#"Length / mm"	"axis_e-field (f=8) (1) (realphi=0) [Real Part]"
#--------------------------------------------------------------
0.0000000000000	0.013165905893236
0.088046073913574	0.030422322245090
0.17609214782715	0.058498798831671
0.26413822174072	0.088008057046631
0.35218429565430	0.11824576540939
0.44022941589355	0.14907319547635
0.52827548980713	0.18045245645586
0.61632156372070	0.21237298399873
0.70436763763428	0.24483501168603
0.79241371154785	0.28365626361535
0.88045978546143	0.35141328729532
0.96850585937500	0.37707467450290
1.0565519332886	0.40346574449208
1.1445980072021	0.43056408788929
1.2326431274414	0.45835228371133
1.3206892013550	0.48681789287238
1.4087352752686	0.51450632883623
1.4967813491821	0.54150573393065
1.5848274230957	0.56907685083878
1.6728734970093	0.59775067792483
1.7609195709229	0.62824627925980
1.8489656448364	0.66141438199834
1.9370117187500	0.69817855492477
2.0250568389893	0.73936014186593
2.1131038665771	0.79773506015035
2.2011489868164	0.89006699302649
2.2891950607300	1.0300924347286
2.3772411346436	1.2276428231593
2.4652872085571	1.4871367996735
2.5533332824707	1.8091419282018
2.6413793563843	2.1925013152798
2.7294254302979	2.6356530584893
2.8174705505371	3.2731563361168
2.9055175781250	4.6863801611047
2.9935626983643	6.9595848569800
3.0816087722778	10.095265195579
3.1696548461914	14.090355258743
3.2577009201050	18.942240613517
3.3457469940186	24.649305756674
3.4337930679321	31.210596277577
3.5218386650085	40.349524904675
3.6098847389221	51.238433376949
3.6979308128357	62.810209475291
3.7859764099121	75.064093531346
3.8740224838257	87.999908047374
3.9620685577393	101.61744465688
4.0501146316528	115.91663108776
4.1381607055664	130.86871652093
4.2262067794800	146.27130374205
4.3142523765564	161.59052174493
4.4022984504700	176.81936634781
4.4903445243835	192.01748715530
4.5783905982971	207.18491029252
4.6664361953735	222.32152705763
4.7544822692871	237.42750510320
4.8425283432007	252.50278439143
4.9305744171143	267.56537102078
5.0186204910278	282.64601857900
5.1066660881042	297.66867850752
5.1947121620178	312.63346488121
5.2827582359314	327.54040633130
5.3708043098450	342.38938367243
5.4588499069214	357.18037305221
5.5468959808350	371.91353675908
5.6349420547485	386.36582531015
5.7229881286621	400.53839276546
5.8110342025757	414.58547682889
5.8990797996521	428.51480086538
5.9871258735657	442.32645581894
6.0751719474792	456.02032050170
6.1632180213928	469.59645810534
6.2512636184692	483.05474981469
6.3393096923828	496.58630560602
6.4273557662964	510.20687031492
6.5154018402100	523.81433331552
6.6034479141235	537.40879825048
6.6914935112000	550.66802212160
6.7795395851135	563.56977246429
6.8675856590271	576.33758634935
6.9556317329407	589.35417906048
7.0436773300171	602.43854779357
7.1317234039307	615.40708140351
7.2197694778442	627.66070092267
7.3078155517578	639.59229520510
7.3958616256714	651.41634784794
7.4839072227478	663.13252341957
7.5719532966614	674.74105720101
7.6599993705750	686.20472711530
7.7480454444885	697.59895735385
7.8360915184021	709.01702261227
7.9241371154785	720.32590500196
8.0121831893921	731.52590713391
8.1002292633057	742.61702716873
8.1882753372192	753.59914186514
8.2763214111328	764.47243377610
8.3643674850464	775.23659774710
8.4524135589600	785.89193950936
8.5404586791992	796.43815494122
8.6285047531128	806.54683666650
8.7165508270264	815.85219846849
8.8045969009399	824.97239804694
8.8926429748535	833.86883689481
8.9806890487671	842.56562012015
9.0687351226807	851.07758219454
9.1567811965942	859.40490613520
9.2448272705078	867.54734921708
9.3328723907471	875.50503636322
9.4209184646606	883.27803283692
9.5089645385742	890.86628315491
9.5970106124878	897.87421816361
9.6850566864014	904.39010005674
9.7731027603149	910.74284398431
9.8611488342285	916.88564655532
9.9491949081421	922.70007784331
10.037240982056	928.35308824549
10.125286102295	933.84462575768
10.213332176208	939.00009196847
10.301378250122	943.31078046859
10.389424324036	947.07053477170
10.477470397949	950.59405318302
10.565516471863	953.85383708250
10.653562545776	956.93656844047
10.741608619690	959.84260891350
10.829654693604	962.58639434818
10.917699813843	964.60373848116
11.005745887756	966.41476433120
11.093791961670	968.05439732363
11.181838035583	969.52255543387
11.269884109497	970.81921913892
11.357930183411	971.94437033189
11.445976257324	972.26500770026
11.534022331238	972.08318849354
11.622068405151	971.78485300083
11.710113525391	971.36983906999
11.798159599304	970.61285502810
11.886205673218	969.14757210379
11.974251747131	967.50197182890
12.062297821045	965.61138783811
12.150343894958	963.53369592363
12.238389968872	960.70554413776
12.326436042786	957.13120668176
12.414482116699	953.39139612395
12.502527236938	949.48704684524
12.590573310852	945.41504594478
12.678619384766	941.14956676134
12.766665458679	936.71733976335
12.854711532593	932.11826705559
12.942757606506	927.35243823944
13.030803680420	922.41970322550
13.118849754333	917.32003849769
13.206895828247	911.36027194854
13.294940948486	904.77919515390
13.382987022400	897.83509058409
13.471033096313	890.68932329883
13.559079170227	883.34180067113
13.647125244141	875.79249730717
13.735171318054	867.98737634614
13.823217391968	859.91428117272
13.911263465881	851.37236561430
13.999309539795	842.51184432567
14.087354660034	833.47077791968
14.175400733948	824.19282692967
14.263446807861	814.75218039818
14.351492881775	805.14912747714
14.439538955688	795.38353274577
14.527585029602	785.45823007808
14.615631103516	774.93526680692
14.703677177429	764.27954063800
14.791723251343	753.54248224991
14.879769325256	742.72428985942
14.967814445496	731.82522685796
15.055860519409	720.84488971543
15.143906593323	709.78336802016
15.231952667236	698.57127458807
15.319998741150	686.81716805915
15.408044815063	675.03112654675
