	Length [mm]	Value [°„C]	
1	0.	20.754	
2	0.78094	20.754	
3	1.5619	20.754	
4	2.3428	20.753	
5	3.1237	20.752	
6	3.9047	20.751	
7	4.6856	20.75	
8	5.4666	20.749	
9	6.2475	20.747	
10	7.0284	20.745	
11	7.8094	20.743	
12	8.5903	20.74	
13	9.3712	20.738	
14	10.152	20.735	
15	10.933	20.732	
16	11.714	20.729	
17	12.495	20.726	
18	13.276	20.722	
19	14.057	20.719	
20	14.838	20.715	
21	15.619	20.712	
22	16.4	20.708	
23	17.181	20.704	
24	17.962	20.7	
25	18.742	20.696	
26	19.523	20.692	
27	20.304	20.688	
28	21.085	20.684	
29	21.866	20.68	
30	22.647	20.676	
31	23.428	20.672	
32	24.209	20.668	
33	24.99	20.665	
34	25.771	20.661	
35	26.552	20.657	
36	27.333	20.654	
37	28.114	20.651	
38	28.895	20.648	
39	29.676	20.645	
40	30.457	20.642	
41	31.237	20.639	
42	32.018	20.636	
43	32.799	20.634	
44	33.58	20.632	
45	34.361	20.63	
46	35.142	20.628	
47	35.923	20.626	
48	36.704	20.624	
49	37.485	20.538	
