"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1.33625,-34.8204769252904,-0.0114717527884724
1.3385,-34.8664058587878,-0.0114479327181491
1.34075,-34.9145427362985,-0.0114238383948145
1.343,-34.9649106105871,-0.011399478875853
1.34525,-35.0175346986345,-0.0113748636383207
1.3475,-35.0724424441124,-0.0113500025666387
1.34975,-35.1296635872518,-0.0113249059410554
1.352,-35.1892302425253,-0.0112995844267984
1.35425,-35.2511769846212,-0.0112740490638581
1.3565,-35.3155409432468,-0.0112483112574211
1.35875,-35.382361907368,-0.0112223827688483
1.361,-35.4516824395667,-0.0111962757072081
1.36325,-35.5235480012799,-0.0111700025213321
1.3655,-35.5980070897759,-0.0111435759923303
1.36775,-35.6751113878275,-0.0111170092265713
1.37,-35.7549159271534,-0.0110903156491008
1.37225,-35.8374792668303,-0.0110635089974143
1.3745,-35.9228636880215,-0.0110366033156577
1.37675,-36.0111354065288,-0.011009612949158
1.379,-36.1023648048622,-0.0109825525392751
1.38125,-36.196626685725,-0.0109554370185892
1.3835,-36.2940005490535,-0.0109282816063688
1.38575,-36.3945708950155,-0.0109011018043179
1.388,-36.4984275556821,-0.0108739133925672
1.39025,-36.6056660584364,-0.0108467324259344
1.3925,-36.7163880245882,-0.0108195752304135
1.39475,-36.830701607125,-0.0107924583998354
1.397,-36.9487219720661,-0.0107653987927984
1.39925,-37.070571828504,-0.0107384135297137
1.4015,-37.1963820131308,-0.0107115199901012
1.40375,-37.3262921358858,-0.0106847358099981
1.406,-37.4604512943224,-0.0106580788795438
1.40825,-37.5990188654347,-0.0106315673407283
1.4105,-37.7421653850082,-0.0106052195852431
1.41275,-37.8900735261291,-0.0105790542524901
1.415,-38.0429391903281,-0.0105530902277012
1.41725,-38.2009727270272,-0.010527346640179
1.4195,-38.3644002995548,-0.0105018428616215
1.42175,-38.5334654190942,-0.0104765985045792
1.424,-38.708430671647,-0.0104516334209787
1.42625,-38.8895796675513,-0.0104269677007526
1.4285,-39.0772192484856,-0.0104026216705363
1.43075,-39.2716819934157,-0.010378615892451
1.433,-39.4733290728956,-0.0103549711629569
1.43525,-39.6825535108566,-0.0103317085117703
1.4375,-39.8997839249745,-0.0103088492008366
1.43975,-40.1254888314708,-0.0102864147233879
1.442,-40.3601816185421,-0.0102644268030304
1.44425,-40.6044263155069,-0.0102429073928765
1.4465,-40.858844313508,-0.0102218786747475
1.44875,-41.1241222299139,-0.0102013630584267
1.451,-41.4010211547019,-0.0101813831809047
1.45325,-41.6903875760913,-0.0101619619057224
1.4555,-41.9931663586097,-0.0101431223223134
1.45775,-42.3104162451003,-0.0101248877453915
1.46,-42.6433284823845,-0.0101072817143642
1.46225,-42.993249338546,-0.0100903279927847
1.4645,-43.3617075020187,-0.0100740505678163
1.46675,-43.7504476478346,-0.0100584736497344
1.469,-44.1614718504133,-0.0100436216714414
1.47125,-44.5970910499266,-0.0100295192880174
1.4735,-45.0599894861588,-0.0100161913762665
1.47575,-45.553305956404,-0.0100036630343009
1.478,-46.0807369936919,-0.00999195958114535
1.48025,-46.6466686408899,-0.00998110655633231
1.4825,-47.2563453658527,-0.0099711297195389
1.48475,-47.916086480159,-0.0099620550502144
1.487,-48.6335610050533,-0.00995390874723582
1.48925,-49.4181277606515,-0.00994671722857132
