#Parameters = {totaltime=320; L=18.9; PIN=7000; a=63; b=32; blendraduis=7.13; d=5; s=29; smallblend=0.5; ta=87.96; tb=20.47; trh=3.91; wa=74.97; wb=11.96; wblend=3.01; wr=42.5699947662; wt=10.05}
#"Time / ns"	"Particle vs. Time [Real Part]"
#-------------------------------------------
0.0000000000000	0.0000000000000
0.0016511422220797	0.0000000000000
0.0033022844441594	0.0000000000000
0.0049534269914997	0.0000000000000
0.0066045688883187	0.0000000000000
0.0082557112188186	0.0000000000000
0.0099068539829994	23799.000000000
0.011557995879818	23799.000000000
0.013209137776637	23797.000000000
0.014860279673456	23795.000000000
0.016511422437637	23793.000000000
0.018162565201818	23792.000000000
0.019813707965999	23791.000000000
0.021464848995456	23788.000000000
0.023115991759637	23788.000000000
0.024767134523818	23787.000000000
0.026418275553275	23784.000000000
0.028069418317456	23783.000000000
0.029720559346913	23781.000000000
0.031371703845817	23779.000000000
0.033022844875275	23778.000000000
0.034673989374179	23776.000000000
0.036325130403636	23775.000000000
0.037976271433093	23773.000000000
0.039627415931998	23769.000000000
0.041278556961455	23767.000000000
0.042929697990912	23766.000000000
0.044580842489816	23763.000000000
0.046231983519274	23761.000000000
0.047883124548731	23757.000000000
0.049534269047635	23757.000000000
0.051185410077093	23752.000000000
0.052836551106550	23749.000000000
0.054487695605454	23748.000000000
0.056138836634911	23745.000000000
0.057789981133816	23745.000000000
0.059441118693826	23741.000000000
0.061092263192730	23738.000000000
0.062743407691634	23738.000000000
0.064394545251645	23735.000000000
0.066045689750549	23732.000000000
0.067696834249453	23729.000000000
0.069347978748358	23729.000000000
0.070999116308368	23726.000000000
0.072650260807272	23724.000000000
0.074301405306176	23722.000000000
0.075952542866187	23720.000000000
0.077603687365091	23718.000000000
0.079254831863995	23717.000000000
0.080905969424006	23715.000000000
0.082557113922910	23713.000000000
0.084208258421814	23711.000000000
0.085859395981824	23708.000000000
0.087510540480729	23707.000000000
0.089161684979633	23703.000000000
0.090812822539643	23703.000000000
0.092463967038547	23702.000000000
0.094115111537452	23699.000000000
0.095766249097462	23696.000000000
0.097417393596366	23692.000000000
0.099068538095270	23691.000000000
0.10071967565528	23688.000000000
0.10237082015419	23686.000000000
0.10402196465309	23685.000000000
0.10567310221310	23685.000000000
0.10732424671200	23679.000000000
0.10897539121091	23677.000000000
0.11062652877092	23677.000000000
0.11227767326982	23676.000000000
0.11392881776873	23673.000000000
0.11557996226763	23671.000000000
0.11723109982764	23669.000000000
0.11888223738765	23667.000000000
0.12053338882545	23663.000000000
0.12218452638546	23659.000000000
0.12383566394547	23657.000000000
0.12548681538327	23656.000000000
0.12713795294328	23652.000000000
0.12878909050329	23651.000000000
0.13044024194109	23651.000000000
0.13209137950110	23651.000000000
0.13374251706111	23649.000000000
0.13539366849891	23648.000000000
0.13704480605892	23645.000000000
0.13869595749672	23643.000000000
0.14034709505673	23641.000000000
0.14199823261674	23636.000000000
0.14364938405453	23632.000000000
0.14530052161454	23629.000000000
0.14695165917455	23627.000000000
0.14860281061235	23623.000000000
0.15025394817236	23621.000000000
0.15190508573237	23620.000000000
0.15355623717017	23617.000000000
0.15520737473018	23616.000000000
0.15685851229019	23614.000000000
0.15850966372799	23610.000000000
0.16016080128800	23606.000000000
0.16181193884801	23602.000000000
0.16346309028581	23601.000000000
0.16511422784582	23596.000000000
0.16676536540583	23592.000000000
0.16841651684363	23587.000000000
0.17006765440364	23583.000000000
0.17171879196365	23582.000000000
0.17336994340145	23580.000000000
0.17502108096146	23576.000000000
0.17667221852147	23575.000000000
0.17832336995927	23572.000000000
0.17997450751928	23571.000000000
0.18162564507929	23568.000000000
0.18327679651708	23567.000000000
0.18492793407709	23565.000000000
0.18657907163711	23563.000000000
0.18823022307490	23562.000000000
0.18988136063491	23559.000000000
0.19153249819492	23557.000000000
0.19318364963272	23553.000000000
0.19483478719273	23551.000000000
0.19648592475274	23551.000000000
0.19813707619054	23550.000000000
0.19978821375055	23549.000000000
0.20143935131056	23547.000000000
0.20309050274836	23545.000000000
0.20474164030837	23545.000000000
0.20639277786838	23542.000000000
0.20804392930618	23539.000000000
0.20969506686619	23537.000000000
0.21134620442620	23537.000000000
0.21299735586400	23533.000000000
0.21464849342401	23533.000000000
0.21629963098402	23530.000000000
0.21795078242182	23529.000000000
0.21960191998183	23528.000000000
0.22125305754184	23525.000000000
0.22290420897964	23522.000000000
0.22455534653965	23520.000000000
0.22620649797744	23516.000000000
0.22785763553745	23514.000000000
0.22950877309746	23509.000000000
0.23115992453526	23506.000000000
0.23281106209527	23504.000000000
0.23446219965528	23504.000000000
0.23611335109308	23502.000000000
0.23776447477530	23500.000000000
0.23941562621310	23499.000000000
0.24106677765090	23498.000000000
0.24271790133312	23498.000000000
0.24436905277092	23497.000000000
0.24602020420872	23496.000000000
0.24767132789094	23492.000000000
0.24932247932874	23493.000000000
0.25097363076654	23491.000000000
0.25262475444876	23487.000000000
0.25427590588656	23485.000000000
0.25592705732436	23484.000000000
0.25757818100658	23481.000000000
0.25922933244438	23479.000000000
0.26088048388218	23480.000000000
0.26253160756440	23476.000000000
0.26418275900220	23478.000000000
0.26583391043999	23478.000000000
0.26748503412222	23476.000000000
0.26913618556001	23476.000000000
0.27078733699781	23474.000000000
0.27243848843561	23475.000000000
0.27408961211783	23475.000000000
0.27574076355563	23474.000000000
0.27739191499343	23471.000000000
0.27904303867565	23469.000000000
0.28069419011345	23468.000000000
0.28234534155125	23465.000000000
0.28399646523347	23468.000000000
0.28564761667127	23462.000000000
0.28729876810907	23461.000000000
