"l_a []","l_b []","l_c []","wphi [deg]","wtheta [rad]","Freq [GHz]","dB(S(1,1)) []"
-0.497,0.8678,1.48911394,0,-0.0037,93.11,-18.8575507216162
-0.497,0.8678,1.48911394,0,-0.0037,93.125,-18.9590492958533
-0.497,0.8678,1.48911394,0,-0.0037,93.14,-19.0571869452365
-0.497,0.8678,1.48911394,0,-0.0037,93.155,-19.1515773907298
-0.497,0.8678,1.48911394,0,-0.0037,93.17,-19.2418602401349
-0.497,0.8678,1.48911394,0,-0.0037,93.185,-19.3277084325326
-0.497,0.8678,1.48911394,0,-0.0037,93.2,-19.4088353268417
-0.497,0.8678,1.48911394,0,-0.0037,93.215,-19.4850011810124
-0.497,0.8678,1.48911394,0,-0.0037,93.23,-19.5560187788878
-0.497,0.8678,1.48911394,0,-0.0037,93.245,-19.6217579879359
-0.497,0.8678,1.48911394,0,-0.0037,93.26,-19.6821490720576
-0.497,0.8678,1.48911394,0,-0.0037,93.275,-19.7371846371551
-0.497,0.8678,1.48911394,0,-0.0037,93.29,-19.7869201493988
-0.497,0.8678,1.48911394,0,-0.0037,93.305,-19.8314730324382
-0.497,0.8678,1.48911394,0,-0.0037,93.32,-19.8710204149981
-0.497,0.8678,1.48911394,0,-0.0037,93.335,-19.9057956593544
-0.497,0.8678,1.48911394,0,-0.0037,93.35,-19.9360838498136
-0.497,0.8678,1.48911394,0,-0.0037,93.365,-19.9622164554128
-0.497,0.8678,1.48911394,0,-0.0037,93.38,-19.9845654010082
-0.497,0.8678,1.48911394,0,-0.0037,93.395,-20.0035367856072
-0.497,0.8678,1.48911394,0,-0.0037,93.41,-20.0195644775255
-0.497,0.8678,1.48911394,0,-0.0037,93.425,-20.0331037950465
-0.497,0.8678,1.48911394,0,-0.0037,93.44,-20.0446254517513
-0.497,0.8678,1.48911394,0,-0.0037,93.455,-20.0546099108521
-0.497,0.8678,1.48911394,0,-0.0037,93.47,-20.063542255848
-0.497,0.8678,1.48911394,0,-0.0037,93.485,-20.0719076483868
-0.497,0.8678,1.48911394,0,-0.0037,93.5,-20.0801874105406
-0.497,0.8678,1.48911394,0,-0.0037,93.515,-20.0888557392888
-0.497,0.8678,1.48911394,0,-0.0037,93.53,-20.0983770367459
-0.497,0.8678,1.48911394,0,-0.0037,93.545,-20.1092038208673
-0.497,0.8678,1.48911394,0,-0.0037,93.56,-20.1217751678914
-0.497,0.8678,1.48911394,0,-0.0037,93.575,-20.1365156291534
-0.497,0.8678,1.48911394,0,-0.0037,93.59,-20.153834560491
-0.497,0.8678,1.48911394,0,-0.0037,93.605,-20.1741258014715
-0.497,0.8678,1.48911394,0,-0.0037,93.62,-20.1977676433545
-0.497,0.8678,1.48911394,0,-0.0037,93.635,-20.2251230283136
-0.497,0.8678,1.48911394,0,-0.0037,93.65,-20.2565399273446
-0.497,0.8678,1.48911394,0,-0.0037,93.665,-20.2923518499279
-0.497,0.8678,1.48911394,0,-0.0037,93.68,-20.3328784444528
-0.497,0.8678,1.48911394,0,-0.0037,93.695,-20.3784261543058
-0.497,0.8678,1.48911394,0,-0.0037,93.71,-20.429288900123
-0.497,0.8678,1.48911394,0,-0.0037,93.725,-20.4857487638223
-0.497,0.8678,1.48911394,0,-0.0037,93.74,-20.5480766545513
-0.497,0.8678,1.48911394,0,-0.0037,93.755,-20.6165329405347
-0.497,0.8678,1.48911394,0,-0.0037,93.77,-20.6913680339325
-0.497,0.8678,1.48911394,0,-0.0037,93.785,-20.7728229182197
-0.497,0.8678,1.48911394,0,-0.0037,93.8,-20.8611296092411
-0.497,0.8678,1.48911394,0,-0.0037,93.815,-20.9565115419992
-0.497,0.8678,1.48911394,0,-0.0037,93.83,-21.059183875368
-0.497,0.8678,1.48911394,0,-0.0037,93.845,-21.1693537062992
-0.497,0.8678,1.48911394,0,-0.0037,93.86,-21.2872201836607
-0.497,0.8678,1.48911394,0,-0.0037,93.875,-21.4129745095881
-0.497,0.8678,1.48911394,0,-0.0037,93.89,-21.5467998130896
-0.497,0.8678,1.48911394,0,-0.0037,93.905,-21.6888708765368
-0.497,0.8678,1.48911394,0,-0.0037,93.92,-21.8393536905198
-0.497,0.8678,1.48911394,0,-0.0037,93.935,-21.9984048062197
-0.497,0.8678,1.48911394,0,-0.0037,93.95,-22.1661704468191
-0.497,0.8678,1.48911394,0,-0.0037,93.965,-22.3427853303834
-0.497,0.8678,1.48911394,0,-0.0037,93.98,-22.5283711459138
-0.497,0.8678,1.48911394,0,-0.0037,93.995,-22.7230346117443
