#
#"PIN"	"Maximum Value of Plot_e-field (f=1.14) (1(SQR(2PIN),0.0),(2)), Abs"
#--------------------------------------------------------------------------
500.00000000000	202591.84375000
1000.0000000000	286508.12500000
10000.000000000	943564.62500000
20000.000000000	1334402.0000000
40000.000000000	1951145.8750000
60000.000000000	2389656.0000000
80000.000000000	2868961.5000000
84600.000000000	2999664.2500000
90000.000000000	3187338.7500000

