#Parameters = {L=6; Pin=20000; a=20; b=10; blendFmax=0.02; blendraduis=2.85; d=5; s=4; ta=16.03; tb=10.61; totaltime=200; trh=1.69; wr=11.49; wt=0.91}
#"Time / ns"	"Particle vs. Time [Real Part]"
#-------------------------------------------
0.0000000000000	6199.0000000000
0.00048723704107814	6199.0000000000
0.00097447408215628	6199.0000000000
0.0014617110690243	6199.0000000000
0.0019489481643126	6199.0000000000
0.0024361851511806	6199.0000000000
0.0029234221380486	6198.0000000000
0.0034106591249167	6198.0000000000
0.0038978963286251	6198.0000000000
0.0043851333154932	6198.0000000000
0.0048723703023612	6198.0000000000
0.0053596072892292	6197.0000000000
0.0058468442760973	6197.0000000000
0.0063340812629653	6197.0000000000
0.0068213182498333	6196.0000000000
0.0073085556703822	6196.0000000000
0.0077957926572503	6196.0000000000
0.0082830296441183	6196.0000000000
0.0087702666309863	6196.0000000000
0.0092575036178544	6196.0000000000
0.0097447406047224	6195.0000000000
0.010231977591590	6195.0000000000
0.010719214578458	6195.0000000000
0.011206451565327	6195.0000000000
0.011693688552195	6195.0000000000
0.012180925539063	6195.0000000000
0.012668162525931	6195.0000000000
0.013155399512799	6194.0000000000
0.013642636499667	6194.0000000000
0.014129873486535	6194.0000000000
0.014617111340764	6193.0000000000
0.015104348327633	6193.0000000000
0.015591585314501	6193.0000000000
0.016078822301369	6193.0000000000
0.016566059288237	6192.0000000000
0.017053296275105	6192.0000000000
0.017540533261973	6192.0000000000
0.018027770248841	6191.0000000000
0.018515007235709	6191.0000000000
0.019002244222577	6191.0000000000
0.019489481209445	6191.0000000000
0.019976718196313	6191.0000000000
0.020463955183181	6191.0000000000
0.020951192170049	6191.0000000000
0.021438429156917	6191.0000000000
0.021925666143785	6191.0000000000
0.022412903130653	6191.0000000000
0.022900140117521	6191.0000000000
0.023387377104389	6191.0000000000
0.023874614091257	6191.0000000000
0.024361851078125	6191.0000000000
0.024849088064993	6190.0000000000
0.025336325051861	6189.0000000000
0.025823562038729	6189.0000000000
0.026310799025597	6188.0000000000
0.026798036012465	6186.0000000000
0.027285272999333	6186.0000000000
0.027772509986201	6185.0000000000
0.028259746973069	6184.0000000000
0.028746983959937	6184.0000000000
0.029234222681529	6184.0000000000
0.029721457933674	6184.0000000000
0.030208696655265	6184.0000000000
0.030695931907410	6184.0000000000
0.031183170629001	6183.0000000000
0.031670405881146	6182.0000000000
0.032157644602737	6182.0000000000
0.032644879854882	6182.0000000000
0.033132118576473	6182.0000000000
0.033619353828618	6181.0000000000
0.034106592550209	6181.0000000000
0.034593827802354	6181.0000000000
0.035081066523945	6181.0000000000
0.035568301776090	6181.0000000000
0.036055540497681	6181.0000000000
0.036542775749826	6181.0000000000
0.037030014471418	6179.0000000000
0.037517249723562	6179.0000000000
0.038004488445154	6179.0000000000
0.038491723697298	6179.0000000000
0.038978962418890	6178.0000000000
0.039466197671034	6178.0000000000
0.039953436392626	6178.0000000000
0.040440671644770	6178.0000000000
0.040927910366362	6177.0000000000
0.041415145618506	6177.0000000000
0.041902384340098	6177.0000000000
0.042389619592242	6177.0000000000
0.042876858313834	6176.0000000000
0.043364093565978	6176.0000000000
0.043851332287570	6176.0000000000
0.044338567539715	6176.0000000000
0.044825806261306	6176.0000000000
0.045313041513451	6176.0000000000
0.045800280235042	6176.0000000000
0.046287515487187	6174.0000000000
0.046774754208778	6173.0000000000
0.047261992930370	6173.0000000000
0.047749228182514	6173.0000000000
0.048236466904106	6172.0000000000
0.048723702156250	6172.0000000000
0.049210940877842	6172.0000000000
0.049698176129986	6171.0000000000
0.050185414851578	6171.0000000000
0.050672650103722	6171.0000000000
0.051159888825314	6171.0000000000
0.051647124077459	6171.0000000000
0.052134362799050	6171.0000000000
0.052621598051195	6171.0000000000
0.053108836772786	6171.0000000000
0.053596072024931	6171.0000000000
0.054083310746522	6171.0000000000
0.054570545998667	6171.0000000000
0.055057784720258	6171.0000000000
0.055545019972403	6171.0000000000
0.056032258693994	6171.0000000000
0.056519493946139	6170.0000000000
0.057006732667730	6170.0000000000
0.057493967919875	6169.0000000000
0.057981206641466	6169.0000000000
0.058468445363058	6168.0000000000
0.058955680615203	6168.0000000000
0.059442915867347	6168.0000000000
0.059930151119492	6168.0000000000
0.060417393310530	6168.0000000000
0.060904628562675	6168.0000000000
0.061391863814819	6168.0000000000
0.061879099066964	6168.0000000000
0.062366341258002	6168.0000000000
0.062853576510147	6167.0000000000
0.063340811762291	6167.0000000000
0.063828047014436	6167.0000000000
0.064315289205474	6167.0000000000
0.064802524457619	6166.0000000000
0.065289759709763	6166.0000000000
0.065776994961908	6166.0000000000
0.066264237152946	6164.0000000000
0.066751472405091	6164.0000000000
0.067238707657236	6164.0000000000
0.067725942909380	6163.0000000000
0.068213185100419	6161.0000000000
0.068700420352563	6161.0000000000
0.069187655604708	6161.0000000000
0.069674890856852	6160.0000000000
0.070162133047891	6160.0000000000
0.070649368300035	6158.0000000000
0.071136603552180	6157.0000000000
0.071623845743218	6157.0000000000
0.072111080995363	6156.0000000000
0.072598316247507	6156.0000000000
0.073085551499652	6156.0000000000
0.073572793690690	6155.0000000000
0.074060028942835	6154.0000000000
0.074547264194980	6154.0000000000
0.075034499447124	6154.0000000000
0.075521741638163	6154.0000000000
0.076008976890307	6154.0000000000
0.076496212142452	6153.0000000000
0.076983447394596	6153.0000000000
0.077470689585635	6153.0000000000
0.077957924837779	6153.0000000000
0.078445160089924	6151.0000000000
0.078932395342068	6151.0000000000
0.079419637533107	6150.0000000000
0.079906872785251	6150.0000000000
